sorting_algorithm, array_size, run_time, num_of_process, num_of_thread
mpi_openmp_quick, 10000000, 0.760174, 6, 5
mpi_openmp_merge, 10000000, 0.895482, 6, 5
mpi_openmp_quick, 10000000, 0.655689, 6, 6
mpi_openmp_merge, 10000000, 0.922395, 6, 6
mpi_openmp_quick, 10000000, 0.673672, 6, 7
mpi_openmp_merge, 10000000, 0.903170, 6, 7
mpi_openmp_quick, 10000000, 0.663466, 6, 8
mpi_openmp_merge, 10000000, 0.903429, 6, 8
mpi_openmp_quick, 10000000, 0.606986, 7, 1
mpi_openmp_merge, 10000000, 0.841351, 7, 1
mpi_openmp_quick, 10000000, 0.635892, 7, 2
mpi_openmp_merge, 10000000, 0.873403, 7, 2
mpi_openmp_quick, 10000000, 0.599476, 7, 3
mpi_openmp_merge, 10000000, 0.901284, 7, 3
mpi_openmp_quick, 10000000, 0.600897, 7, 4
mpi_openmp_merge, 10000000, 0.852909, 7, 4
mpi_openmp_quick, 10000000, 0.695454, 7, 5
mpi_openmp_merge, 10000000, 0.877140, 7, 5
mpi_openmp_quick, 10000000, 0.605456, 7, 6
mpi_openmp_merge, 10000000, 0.882540, 7, 6
mpi_openmp_quick, 10000000, 0.622966, 7, 7
mpi_openmp_merge, 10000000, 0.855040, 7, 7
